Back|Object|56|..\..\..\Desktop\MapTool\Image\Texture\Back\Object\Back%d.png
SeiShow|Skill_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Skill_5\SeiShow%d.png
SeiShow|Stand_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Stand_1\SeiShow%d.png
SeiShow|Stand_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Stand_2\SeiShow%d.png
SeiShow|Stand_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Stand_3\SeiShow%d.png
SeiShow|Stand_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Stand_4\SeiShow%d.png
SeiShow|Stand_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Stand_5\SeiShow%d.png
SeiShow|Walk_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Walk_1\SeiShow%d.png
SeiShow|Walk_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Walk_2\SeiShow%d.png
SeiShow|Walk_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Walk_3\SeiShow%d.png
SeiShow|Walk_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Walk_4\SeiShow%d.png
SeiShow|Walk_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Walk_5\SeiShow%d.png
Texture|Tile|216|..\..\..\Desktop\MapTool\Image\Texture\Tile\Tile%d.png
Texture1|TILEMAP|5|..\..\..\Desktop\MapTool\Image\Texture\TILEMAP\TILE0%d.png
Town|Armor|3|..\..\..\Desktop\MapTool\Image\Texture\Back\Town\Armor\Town%d.png
Town|Bank|3|..\..\..\Desktop\MapTool\Image\Texture\Back\Town\Bank\Town%d.png
Town|Big|2|..\..\..\Desktop\MapTool\Image\Texture\Back\Town\Big\Town%d.png
Town|Clinic|3|..\..\..\Desktop\MapTool\Image\Texture\Back\Town\Clinic\Town%d.png
Town|GBarrack|3|..\..\..\Desktop\MapTool\Image\Texture\Back\Town\GBarrack\Town%d.png
Town|GovernmentOffice|3|..\..\..\Desktop\MapTool\Image\Texture\Back\Town\GovernmentOffice\Town%d.png
Town|Inn|3|..\..\..\Desktop\MapTool\Image\Texture\Back\Town\Inn\Town%d.png
Town|Middle|2|..\..\..\Desktop\MapTool\Image\Texture\Back\Town\Middle\Town%d.png
Town|Small|2|..\..\..\Desktop\MapTool\Image\Texture\Back\Town\Small\Town%d.png
Town|Whalf|3|..\..\..\Desktop\MapTool\Image\Texture\Back\Town\Whalf\Town%d.png
Town|WStore|3|..\..\..\Desktop\MapTool\Image\Texture\Back\Town\WStore\Town%d.png
Waki|Attack_1|14|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Attack_1\Waki%d.png
Waki|Attack_2|14|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Attack_2\Waki%d.png
Waki|Attack_3|14|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Attack_3\Waki%d.png
Waki|Attack_4|14|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Attack_4\Waki%d.png
Waki|Attack_5|14|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Attack_5\Waki%d.png
Waki|Die|9|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Die\Waki%d.png
Waki|Skill_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Skill_1\Waki%d.png
Waki|Skill_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Skill_2\Waki%d.png
Waki|Skill_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Skill_3\Waki%d.png
Waki|Skill_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Skill_4\Waki%d.png
Waki|Skill_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Skill_5\Waki%d.png
Waki|Stand_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Stand_1\Waki%d.png
Waki|Stand_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Stand_2\Waki%d.png
Waki|Stand_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Stand_3\Waki%d.png
Waki|Stand_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Stand_4\Waki%d.png
Waki|Stand_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Stand_5\Waki%d.png
Waki|Walk_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Walk_1\Waki%d.png
Waki|Walk_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Walk_2\Waki%d.png
Waki|Walk_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Walk_3\Waki%d.png
Waki|Walk_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Walk_4\Waki%d.png
Waki|Walk_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Waki\Walk_5\Waki%d.png
Defend_BeautiBody|Attack_Bow1|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_Bow1\%d.png
Defend_BeautiBody|Attack_Bow2|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_Bow2\%d.png
Defend_BeautiBody|Attack_Bow3|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_Bow3\%d.png
Defend_BeautiBody|Attack_Bow4|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_Bow4\%d.png
Defend_BeautiBody|Attack_Bow5|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_Bow5\%d.png
Defend_BeautiBody|Attack_Gun1|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_Gun1\%d.png
Defend_BeautiBody|Attack_Gun2|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_Gun2\%d.png
Defend_BeautiBody|Attack_Gun3|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_Gun3\%d.png
Defend_BeautiBody|Attack_Gun4|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_Gun4\%d.png
Defend_BeautiBody|Attack_Gun5|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_Gun5\%d.png
Defend_BeautiBody|Attack_spear1|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_spear1\%d.png
Defend_BeautiBody|Attack_spear2|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_spear2\%d.png
Defend_BeautiBody|Attack_spear3|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_spear3\%d.png
Defend_BeautiBody|Attack_spear4|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_spear4\%d.png
Defend_BeautiBody|Attack_spear5|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_spear5\%d.png
Defend_BeautiBody|Attack_sword1|10|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_sword1\%d.png
Defend_BeautiBody|Attack_sword2|10|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_sword2\%d.png
Defend_BeautiBody|Attack_sword3|10|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_sword3\%d.png
Defend_BeautiBody|Attack_sword4|10|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_sword4\%d.png
Defend_BeautiBody|Attack_sword5|10|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Attack_sword5\%d.png
Defend_BeautiBody|Move_Bow1|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Move_Bow1\%d.png
Defend_BeautiBody|Move_Bow2|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Move_Bow2\%d.png
Defend_BeautiBody|Move_Bow3|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Move_Bow3\%d.png
Defend_BeautiBody|Move_Bow4|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Move_Bow4\%d.png
Defend_BeautiBody|Move_Bow5|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Move_Bow5\%d.png
Defend_BeautiBody|Move1|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Move1\%d.png
Defend_BeautiBody|Move2|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Move2\%d.png
Defend_BeautiBody|Move3|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Move3\%d.png
Defend_BeautiBody|Move4|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Move4\%d.png
Defend_BeautiBody|Move5|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Move5\%d.png
Defend_BeautiBody|Stand_Bow1|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Stand_Bow1\%d.png
Defend_BeautiBody|Stand_Bow2|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Stand_Bow2\%d.png
Defend_BeautiBody|Stand_Bow3|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Stand_Bow3\%d.png
Defend_BeautiBody|Stand_Bow4|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Stand_Bow4\%d.png
Defend_BeautiBody|Stand_Bow5|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Stand_Bow5\%d.png
Defend_BeautiBody|Stand1|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Stand1\%d.png
Defend_BeautiBody|Stand2|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Stand2\%d.png
Defend_BeautiBody|Stand3|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Stand3\%d.png
Defend_BeautiBody|Stand4|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Stand4\%d.png
Defend_BeautiBody|Stand5|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiBody\Stand5\%d.png
Defend_BeautiHead|Attack_Bow1|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_Bow1\%d.png
Defend_BeautiHead|Attack_Bow2|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_Bow2\%d.png
Defend_BeautiHead|Attack_Bow3|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_Bow3\%d.png
Defend_BeautiHead|Attack_Bow4|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_Bow4\%d.png
Defend_BeautiHead|Attack_Bow5|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_Bow5\%d.png
Defend_BeautiHead|Attack_Gun1|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_Gun1\%d.png
Defend_BeautiHead|Attack_Gun2|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_Gun2\%d.png
Defend_BeautiHead|Attack_Gun3|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_Gun3\%d.png
Defend_BeautiHead|Attack_Gun4|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_Gun4\%d.png
Defend_BeautiHead|Attack_Gun5|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_Gun5\%d.png
Defend_BeautiHead|Attack_spear1|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_spear1\%d.png
Defend_BeautiHead|Attack_spear2|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_spear2\%d.png
Defend_BeautiHead|Attack_spear3|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_spear3\%d.png
Defend_BeautiHead|Attack_spear4|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_spear4\%d.png
Defend_BeautiHead|Attack_spear5|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_spear5\%d.png
Defend_BeautiHead|Attack_sword1|10|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_sword1\%d.png
Defend_BeautiHead|Attack_sword2|10|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_sword2\%d.png
Defend_BeautiHead|Attack_sword3|10|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_sword3\%d.png
Defend_BeautiHead|Attack_sword4|10|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_sword4\%d.png
Defend_BeautiHead|Attack_sword5|10|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Attack_sword5\%d.png
Defend_BeautiHead|Move1|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Move1\%d.png
Defend_BeautiHead|Move2|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Move2\%d.png
Defend_BeautiHead|Move3|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Move3\%d.png
Defend_BeautiHead|Move4|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Move4\%d.png
Defend_BeautiHead|Move5|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Move5\%d.png
Defend_BeautiHead|Stand1|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Stand1\%d.png
Defend_BeautiHead|Stand2|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Stand2\%d.png
Defend_BeautiHead|Stand3|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Stand3\%d.png
Defend_BeautiHead|Stand4|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Stand4\%d.png
Defend_BeautiHead|Stand5|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiHead\Stand5\%d.png
Defend_BeautiLeft|Attack_Bow1|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiLeft\Attack_Bow1\%d.png
Defend_BeautiLeft|Attack_Bow2|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiLeft\Attack_Bow2\%d.png
Defend_BeautiLeft|Attack_Bow3|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiLeft\Attack_Bow3\%d.png
Defend_BeautiLeft|Attack_Bow4|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiLeft\Attack_Bow4\%d.png
Defend_BeautiLeft|Attack_Bow5|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiLeft\Attack_Bow5\%d.png
Defend_BeautiLeft|Attack_Gun1|8|..\..\MapTool\Image\Texture\Player\Defend_BeautiLeft\Attack_Gun1\%d.png
